judge_model,experiment_type,app,variant,detector_model,method,n_omissions,n_true_gaps,found_strict,found_broad,recall_strict,recall_broad
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,DeepSeek-V3-0324,oneshot-tracker,3,2,2,2,1.0,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,DeepSeek-V3-0324,oneshot-warehouse,2,2,1,2,0.5,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,DeepSeek-V3-0324,twoshot,3,2,2,2,1.0,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,DeepSeek-V3-0324,zeroshot,3,2,2,2,1.0,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,claude-sonnet-4-6,oneshot-tracker,3,2,2,2,1.0,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,claude-sonnet-4-6,oneshot-warehouse,2,2,2,2,1.0,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,claude-sonnet-4-6,twoshot,2,2,2,2,1.0,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,claude-sonnet-4-6,zeroshot,2,2,1,2,0.5,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-4.1-mini,oneshot-tracker,7,2,2,2,1.0,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-4.1-mini,oneshot-warehouse,9,2,2,2,1.0,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-4.1-mini,twoshot,12,2,2,2,1.0,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-4.1-mini,zeroshot,6,2,2,2,1.0,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-5.4,oneshot-tracker,5,2,2,2,1.0,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-5.4,oneshot-warehouse,4,2,1,2,0.5,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-5.4,twoshot,3,2,2,2,1.0,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-5.4,zeroshot,2,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,DeepSeek-V3-0324,oneshot-tracker,3,2,1,2,0.5,1.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,DeepSeek-V3-0324,oneshot-warehouse,4,2,1,2,0.5,1.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,DeepSeek-V3-0324,twoshot,3,2,0,1,0.0,0.5
gpt-5.4,microservices,nutrition,auth-R1R2R3,DeepSeek-V3-0324,zeroshot,3,2,1,2,0.5,1.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,claude-sonnet-4-6,oneshot-tracker,4,2,1,2,0.5,1.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,claude-sonnet-4-6,oneshot-warehouse,6,2,1,2,0.5,1.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,claude-sonnet-4-6,twoshot,5,2,1,2,0.5,1.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,claude-sonnet-4-6,zeroshot,5,2,1,2,0.5,1.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,gpt-4.1-mini,oneshot-tracker,10,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,gpt-4.1-mini,oneshot-warehouse,7,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,gpt-4.1-mini,twoshot,8,2,1,2,0.5,1.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,gpt-4.1-mini,zeroshot,7,2,1,2,0.5,1.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,gpt-5.4,oneshot-tracker,6,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,gpt-5.4,oneshot-warehouse,4,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,gpt-5.4,twoshot,7,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,gpt-5.4,zeroshot,5,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,dishes-R4R5R6,DeepSeek-V3-0324,oneshot-tracker,5,2,1,1,0.5,0.5
gpt-5.4,microservices,nutrition,dishes-R4R5R6,DeepSeek-V3-0324,oneshot-warehouse,5,2,1,1,0.5,0.5
gpt-5.4,microservices,nutrition,dishes-R4R5R6,DeepSeek-V3-0324,twoshot,5,2,1,1,0.5,0.5
gpt-5.4,microservices,nutrition,dishes-R4R5R6,DeepSeek-V3-0324,zeroshot,5,2,1,1,0.5,0.5
gpt-5.4,microservices,nutrition,dishes-R4R5R6,claude-sonnet-4-6,oneshot-tracker,8,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,dishes-R4R5R6,claude-sonnet-4-6,oneshot-warehouse,4,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,dishes-R4R5R6,claude-sonnet-4-6,twoshot,6,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,dishes-R4R5R6,claude-sonnet-4-6,zeroshot,5,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,dishes-R4R5R6,gpt-4.1-mini,oneshot-tracker,7,2,1,2,0.5,1.0
gpt-5.4,microservices,nutrition,dishes-R4R5R6,gpt-4.1-mini,oneshot-warehouse,7,2,1,2,0.5,1.0
gpt-5.4,microservices,nutrition,dishes-R4R5R6,gpt-4.1-mini,twoshot,5,2,1,2,0.5,1.0
gpt-5.4,microservices,nutrition,dishes-R4R5R6,gpt-4.1-mini,zeroshot,6,2,1,1,0.5,0.5
gpt-5.4,microservices,nutrition,dishes-R4R5R6,gpt-5.4,oneshot-tracker,5,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,dishes-R4R5R6,gpt-5.4,oneshot-warehouse,6,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,dishes-R4R5R6,gpt-5.4,twoshot,7,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,dishes-R4R5R6,gpt-5.4,zeroshot,7,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,DeepSeek-V3-0324,oneshot-tracker,5,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,DeepSeek-V3-0324,oneshot-warehouse,4,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,DeepSeek-V3-0324,twoshot,4,2,1,2,0.5,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,DeepSeek-V3-0324,zeroshot,4,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,claude-sonnet-4-6,oneshot-tracker,5,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,claude-sonnet-4-6,oneshot-warehouse,4,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,claude-sonnet-4-6,twoshot,4,2,1,1,0.5,0.5
gpt-5.4,microservices,nutrition,profiles-R7R8R9,claude-sonnet-4-6,zeroshot,4,2,2,2,1.0,1.0
