judge_model,experiment_type,app,variant,detector_model,method,n_omission_items,n_delta,n_true_gaps,n_invalid,found_delta_strict,found_gaps_strict,precision_dedup_strict,recall_dedup_strict,found_delta_broad,found_gaps_broad,precision_dedup_broad,recall_dedup_broad
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-4.1-mini,oneshot-tracker,15,9,7,0,5,5,1.0,0.7142857142857143,7,6,0.8571428571428571,0.8571428571428571
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-4.1-mini,oneshot-warehouse,16,9,7,0,6,5,0.8333333333333334,0.7142857142857143,8,6,0.75,0.8571428571428571
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-4.1-mini,twoshot,20,9,7,0,6,6,1.0,0.8571428571428571,7,6,0.8571428571428571,0.8571428571428571
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-4.1-mini,zeroshot,19,9,7,0,7,6,0.8571428571428571,0.8571428571428571,8,6,0.75,0.8571428571428571
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-5.4,oneshot-tracker,12,9,7,0,7,7,1.0,1.0,8,7,0.875,1.0
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-5.4,oneshot-warehouse,14,9,7,0,7,7,1.0,1.0,9,7,0.7777777777777778,1.0
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-5.4,twoshot,15,9,7,0,6,6,1.0,0.8571428571428571,8,7,0.875,1.0
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-5.4,zeroshot,16,9,7,0,7,7,1.0,1.0,9,7,0.7777777777777778,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,DeepSeek-V3-0324,oneshot-tracker,3,8,2,0,2,2,1.0,1.0,2,2,1.0,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,DeepSeek-V3-0324,oneshot-warehouse,2,8,2,0,1,1,1.0,0.5,2,2,1.0,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,DeepSeek-V3-0324,twoshot,3,8,2,0,2,2,1.0,1.0,2,2,1.0,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,DeepSeek-V3-0324,zeroshot,3,8,2,0,2,2,1.0,1.0,2,2,1.0,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,claude-sonnet-4-6,oneshot-tracker,3,8,2,0,2,2,1.0,1.0,2,2,1.0,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,claude-sonnet-4-6,oneshot-warehouse,2,8,2,0,2,2,1.0,1.0,2,2,1.0,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,claude-sonnet-4-6,twoshot,2,8,2,0,2,2,1.0,1.0,2,2,1.0,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,claude-sonnet-4-6,zeroshot,2,8,2,0,1,1,1.0,0.5,2,2,1.0,1.0
