judge_model,experiment_type,app,variant,detector_model,method,n_omissions,tp_strict,fp_tracked_strict,excluded_strict,unknown_strict,precision_tracked_strict,exclusion_rate_strict,tp_broad,fp_tracked_broad,excluded_broad,unknown_broad,precision_tracked_broad,exclusion_rate_broad
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,claude-sonnet-4-6,zeroshot,10,8,0,2,0,1.0,0.2,8,0,2,0,1.0,0.2
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-4.1-mini,oneshot-tracker,15,5,0,10,0,1.0,0.6666666666666666,6,1,8,0,0.8571428571428571,0.5333333333333333
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-4.1-mini,oneshot-warehouse,16,5,1,10,0,0.8333333333333334,0.625,7,3,6,0,0.7,0.375
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-4.1-mini,twoshot,20,6,0,14,0,1.0,0.7,7,2,11,0,0.7777777777777778,0.55
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-4.1-mini,zeroshot,19,6,1,12,0,0.8571428571428571,0.631578947368421,7,2,10,0,0.7777777777777778,0.5263157894736842
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-5.4,oneshot-tracker,12,7,0,5,0,1.0,0.4166666666666667,7,1,4,0,0.875,0.3333333333333333
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-5.4,oneshot-warehouse,14,8,0,6,0,1.0,0.42857142857142855,8,2,4,0,0.8,0.2857142857142857
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-5.4,twoshot,15,7,0,8,0,1.0,0.5333333333333333,10,2,3,0,0.8333333333333334,0.2
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-5.4,zeroshot,16,12,0,4,0,1.0,0.25,12,2,2,0,0.8571428571428571,0.125
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,DeepSeek-V3-0324,oneshot-tracker,3,2,0,1,0,1.0,0.3333333333333333,2,0,1,0,1.0,0.3333333333333333
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,DeepSeek-V3-0324,oneshot-warehouse,2,1,0,1,0,1.0,0.5,2,0,0,0,1.0,0.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,DeepSeek-V3-0324,twoshot,3,2,0,1,0,1.0,0.3333333333333333,2,0,1,0,1.0,0.3333333333333333
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,DeepSeek-V3-0324,zeroshot,3,2,0,1,0,1.0,0.3333333333333333,2,0,1,0,1.0,0.3333333333333333
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,claude-sonnet-4-6,oneshot-tracker,3,2,0,1,0,1.0,0.3333333333333333,2,0,1,0,1.0,0.3333333333333333
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,claude-sonnet-4-6,oneshot-warehouse,2,2,0,0,0,1.0,0.0,2,0,0,0,1.0,0.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,claude-sonnet-4-6,twoshot,2,2,0,0,0,1.0,0.0,2,0,0,0,1.0,0.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,claude-sonnet-4-6,zeroshot,2,1,0,1,0,1.0,0.5,2,0,0,0,1.0,0.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-4.1-mini,oneshot-tracker,7,2,1,4,0,0.6666666666666666,0.5714285714285714,2,2,3,0,0.5,0.42857142857142855
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-4.1-mini,oneshot-warehouse,9,2,3,4,0,0.4,0.4444444444444444,2,3,4,0,0.4,0.4444444444444444
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-4.1-mini,twoshot,12,4,3,5,0,0.5714285714285714,0.4166666666666667,4,4,4,0,0.5,0.3333333333333333
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-4.1-mini,zeroshot,6,2,1,3,0,0.6666666666666666,0.5,2,2,2,0,0.5,0.3333333333333333
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-5.4,oneshot-tracker,5,3,0,2,0,1.0,0.4,3,0,2,0,1.0,0.4
